year,equipment_type,unit_name,unit_count
1970,aircraft,A-1D Skyraider,0
1970,aircraft,Br 765,0
1970,aircraft,DV-6,0
1970,aircraft,F-100D,0
1970,aircraft,IIIE,0
1970,aircraft,IIIRD/IIIR,0
1970,aircraft,KC-135F,0
1970,aircraft,Mirage IIIC,0
1970,aircraft,Mirage IVA,0
1970,aircraft,Noratlas Nord 2501,0
1970,aircraft,Super Mystere B-2,0
1970,aircraft,Transall C-160,0
1970,aircraft,Vautour IIN,0
1970,amphibious,NA,23
1970,armoured fighting vehicles,AMX-13,0
1970,armoured fighting vehicles,AMX-30,435
1970,artillery,AMX,0
1970,artillery,NA,0
1970,ballistic missiles,NA,18
1970,helicopters,H-34/Alouette II,0
1970,mine warfare,NA,94
1970,patrol and coastal combatants,NA,14
1970,principal surface combatants,NA,52
1970,submarines,NA,23
1970,surface-to-surface missile launchers,HAWK,3
1970,surface-to-surface missile launchers,Honest Jon,4
1971,aircraft,Atlantic,0
1971,aircraft,Br 765,0
1971,aircraft,Crusader (F-8E),0
1971,aircraft,DV-6,0
1971,aircraft,Entendard IVP,0
1971,aircraft,F-100D,0
1971,aircraft,IIIE,0
1971,aircraft,IIIRD/IIIR,0
1971,aircraft,KC-135F,9
1971,aircraft,Mirage IIIB,0
1971,aircraft,Mirage IIIC,0
1971,aircraft,Mirage IV A,36
1971,aircraft,Mirage IVA,0
1971,aircraft,Noratlas Nord 2501,0
1971,aircraft,P-2,0
1971,aircraft,Super Mystere B-2,0
1971,aircraft,Transall C-160,0
1971,aircraft,Vautour IIN,0
1971,amphibious,NA,17
1971,armoured fighting vehicles,AMX-13,0
1971,armoured fighting vehicles,AMX-30,575
1971,armoured fighting vehicles,M-47,0
1971,armoured fighting vehicles,VTT-AMX,0
1971,artillery,AMX,0
1971,artillery,NA,0
1971,ballistic missiles,NA,16
1971,helicopters,Alouette II/III,0
1971,helicopters,H-34/Alouette II,0
1971,mine warfare,NA,89
1971,patrol and coastal combatants,NA,14
1971,principal surface combatants,NA,48
1971,submarines,NA,28
1971,surface-to-surface missile launchers,HAWK,0
1971,surface-to-surface missile launchers,Honest Jon,0
1972,aircraft,Atlantic,0
1972,aircraft,Br 765,4
1972,aircraft,C-160,0
1972,aircraft,Crusader (F-8E),0
1972,aircraft,DV-6B,4
1972,aircraft,Entendard IVP,0
1972,aircraft,F-100D,0
1972,aircraft,IIIE,0
1972,aircraft,IIIRD/IIIR,0
1972,aircraft,KC-135F,12
1972,aircraft,Mirage IIIB,0
1972,aircraft,Mirage IIIC,0
1972,aircraft,Mirage IV A,36
1972,aircraft,Mirage IVA,0
1972,aircraft,Noratlas Nord 2501,173
1972,aircraft,P-2,0
1972,aircraft,Super Mystere B-2,0
1972,aircraft,Vautour II-IB,30
1972,aircraft,Vautour IIN,30
1972,amphibious,NA,23
1972,armoured fighting vehicles,AMX-13,0
1972,armoured fighting vehicles,AMX-30,575
1972,armoured fighting vehicles,M-47,0
1972,armoured fighting vehicles,VTT-AMX,0
1972,artillery,AMX,0
1972,artillery,Model-56,0
1972,artillery,NA,0
1972,ballistic missiles,SSBS S-3,0
1972,helicopters,Alouette,0
1972,helicopters,Alouette II/III,0
1972,helicopters,Bell,450
1972,helicopters,H-34/Alouette II/III,0
1972,helicopters,SA-330 (Puma),0
1972,mine warfare,NA,91
1972,patrol and coastal combatants,NA,0
1972,principal surface combatants,NA,50
1972,submarines,NA,20
1972,surface-to-surface missile launchers,HAWK,0
1972,surface-to-surface missile launchers,Honest Jon,0
1973,aircraft,Atlantic,0
1973,aircraft,Br 763,2
1973,aircraft,C-160,0
1973,aircraft,C-160F,40
1973,aircraft,Crusader (F-8E),0
1973,aircraft,DC-6,5
1973,aircraft,DC-8,3
1973,aircraft,DV-6B,0
1973,aircraft,Entendard IVP,0
1973,aircraft,F-100D,0
1973,aircraft,IIIE,0
1973,aircraft,IIIRD/IIIR,0
1973,aircraft,Jaguar,0
1973,aircraft,KC-135F,12
1973,aircraft,Mirage IIIB,0
1973,aircraft,Mirage IIIC,0
1973,aircraft,Mirage IV A,36
1973,aircraft,Mirage IVA,0
1973,aircraft,Mirage V,0
1973,aircraft,Noratlas Nord 2501,130
1973,aircraft,P-2,0
1973,aircraft,Super Mystere B-2,0
1973,aircraft,Vautour II-IB,30
1973,aircraft,Vautour IIN,30
1973,amphibious,NA,20
1973,armoured fighting vehicles,AMX,0
1973,armoured fighting vehicles,AMX-13,0
1973,armoured fighting vehicles,AMX-30,820
1973,artillery,AMX,0
1973,artillery,Model-56,0
1973,artillery,NA,0
1973,ballistic missiles,SSBS S-3,9
1973,helicopters,Alouette,0
1973,helicopters,Alouette II,175
1973,helicopters,Alouette II/III,0
1973,helicopters,Alouette III,60
1973,helicopters,Bell,70
1973,helicopters,H-34/Alouette II/III,0
1973,helicopters,SA-330 (Puma),80
1973,mine warfare,NA,53
1973,patrol and coastal combatants,NA,0
1973,principal surface combatants,NA,47
1973,submarines,NA,21
1973,surface-to-surface missile launchers,HAWK,54
1973,surface-to-surface missile launchers,Honest Jon,20
1974,aircraft,Atlantic,38
1974,aircraft,C-160,0
1974,aircraft,C-160 Transall,50
1974,aircraft,Crusader (F-8E),36
1974,aircraft,DC-6,0
1974,aircraft,DC-6B,4
1974,aircraft,DC-8,3
1974,aircraft,Entendard IVP,12
1974,aircraft,F-100D,56
1974,aircraft,IIIE,120
1974,aircraft,IIIRD/IIIR,45
1974,aircraft,Jaguar,30
1974,aircraft,KC-135F,11
1974,aircraft,Mirage IIIB,0
1974,aircraft,Mirage IV A,36
1974,aircraft,Mirage IVA,0
1974,aircraft,Mirage V,30
1974,aircraft,Noratlas Nord 2501,120
1974,aircraft,P-2,23
1974,aircraft,Vautour IIB/N,30
1974,amphibious,NA,21
1974,armoured fighting vehicles,AMX-10,150
1974,armoured fighting vehicles,AMX-13,1120
1974,armoured fighting vehicles,AMX-30,910
1974,artillery,AMX,0
1974,artillery,Model-56,0
1974,artillery,NA,0
1974,ballistic missiles,SSBS S-3,9
1974,helicopters,Alouette,0
1974,helicopters,Alouette II,192
1974,helicopters,Alouette II/III,0
1974,helicopters,Alouette III,85
1974,helicopters,Bell,70
1974,helicopters,H-34/Alouette II/III,93
1974,helicopters,SA-330 (Puma),105
1974,helicopters,SA-341F (Gazelle),45
1974,mine warfare,NA,8
1974,patrol and coastal combatants,NA,0
1974,principal surface combatants,NA,49
1974,submarines,NA,22
1974,surface-to-surface missile launchers,HAWK,54
1974,surface-to-surface missile launchers,Honest Jon,8
1974,surface-to-surface missile launchers,Pluton,6
1974,surface-to-surface missile launchers,Roland,0
1975,air defence,NA,0
1975,aircraft,Atlantic,26
1975,aircraft,C-160,0
1975,aircraft,C-160 Transall,50
1975,aircraft,C-47,0
1975,aircraft,Crusader (F-8E),24
1975,aircraft,DC-4,0
1975,aircraft,DC-6,0
1975,aircraft,DC-6B,4
1975,aircraft,DC-8,3
1975,aircraft,Entendard IVP,12
1975,aircraft,F-1,45
1975,aircraft,F-100D,56
1975,aircraft,HSS-1,0
1975,aircraft,IIIC,45
1975,aircraft,IIIE,120
1975,aircraft,IIIRD/IIIR,45
1975,aircraft,Jaguar,60
1975,aircraft,KC-135F,11
1975,aircraft,Mirage IIIB,0
1975,aircraft,Mirage IV A,36
1975,aircraft,Mirage IVA,0
1975,aircraft,Mirage VF,30
1975,aircraft,Noratlas,120
1975,aircraft,P-2,10
1975,aircraft,Super Mystere,45
1975,aircraft,Vautour IIB/N,15
1975,amphibious,NA,22
1975,armoured fighting vehicles,AMX-10,150
1975,armoured fighting vehicles,AMX-13,1120
1975,armoured fighting vehicles,AMX-30,950
1975,armoured fighting vehicles,VP-90,0
1975,artillery,AMX,0
1975,artillery,GCT,0
1975,artillery,Model-56,0
1975,artillery,NA,0
1975,ballistic missiles,SSBS S-3,9
1975,helicopters,Alouette,0
1975,helicopters,Alouette II,214
1975,helicopters,Alouette II/III,0
1975,helicopters,Alouette III,111
1975,helicopters,Bell,85
1975,helicopters,H-34/Alouette II/III,93
1975,helicopters,SA-341F (Gazelle),60
1975,helicopters,Super Frelon,0
1975,mine warfare,NA,46
1975,patrol and coastal combatants,NA,0
1975,principal surface combatants,NA,47
1975,radars,STRIDA II,0
1975,submarines,NA,22
1975,surface-to-surface missile launchers,HAWK,60
1975,surface-to-surface missile launchers,Honest Jon,0
1975,surface-to-surface missile launchers,Pluton,12
1975,surface-to-surface missile launchers,Roland,0
1976,air defence,NA,0
1976,aircraft,Atlantic,25
1976,aircraft,C-160,0
1976,aircraft,C-160 Transall,50
1976,aircraft,C-47,0
1976,aircraft,Crusader (F-8E),20
1976,aircraft,DC-4,0
1976,aircraft,DC-6,0
1976,aircraft,DC-6B,4
1976,aircraft,DC-8,4
1976,aircraft,Entendard IVP,12
1976,aircraft,F-1,60
1976,aircraft,F-100D,30
1976,aircraft,Fouga CM-175,0
1976,aircraft,HSS-1,12
1976,aircraft,HSS-1 Seabat,15
1976,aircraft,IIIC,38
1976,aircraft,IIIE,120
1976,aircraft,IIIRD/IIIR,45
1976,aircraft,Jaguar,75
1976,aircraft,KC-135F,11
